name	type	units	sampling_frequency
Fp1	EEG	uV	500
AF3	EEG	uV	500
AF7	EEG	uV	500
Fz	EEG	uV	500
F1	EEG	uV	500
F3	EEG	uV	500
F5	EEG	uV	500
F7	EEG	uV	500
FC1	EEG	uV	500
FC3	EEG	uV	500
FC5	EEG	uV	500
FT7	EEG	uV	500
Cz	EEG	uV	500
C1	EEG	uV	500
C3	EEG	uV	500
C5	EEG	uV	500
T7	EEG	uV	500
CP1	EEG	uV	500
CP3	EEG	uV	500
CP5	EEG	uV	500
TP7	EEG	uV	500
TP9	EEG	uV	500
Pz	EEG	uV	500
P1	EEG	uV	500
P3	EEG	uV	500
P5	EEG	uV	500
P7	EEG	uV	500
PO3	EEG	uV	500
PO7	EEG	uV	500
Oz	EEG	uV	500
O1	EEG	uV	500
Fpz	EEG	uV	500
Fp2	EEG	uV	500
AF4	EEG	uV	500
AF8	EEG	uV	500
F2	EEG	uV	500
F4	EEG	uV	500
F6	EEG	uV	500
F8	EEG	uV	500
FC2	EEG	uV	500
FC4	EEG	uV	500
FC6	EEG	uV	500
FT8	EEG	uV	500
C2	EEG	uV	500
C4	EEG	uV	500
C6	EEG	uV	500
T8	EEG	uV	500
CPz	EEG	uV	500
CP2	EEG	uV	500
CP4	EEG	uV	500
CP6	EEG	uV	500
TP8	EEG	uV	500
TP10	EEG	uV	500
P2	EEG	uV	500
P4	EEG	uV	500
P6	EEG	uV	500
P8	EEG	uV	500
POz	EEG	uV	500
PO4	EEG	uV	500
PO8	EEG	uV	500
O2	EEG	uV	500
